author,text,published_at,like_count,product_name,product_brand,video_title
@TrebronSeyer,Top 3 basic fuck boy fragrances,2025-06-22T06:24:43Z,0,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@ggZuper,I didnt know Noir 29 is a good one until now. I checked the review after I bought a 15ml which I smelled in store as one of a best choice for me. Checking here to validate if I picked the right one haha,2025-06-07T08:32:12Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@UnOfficialD,Is all of them good under the sun?,2025-05-12T13:40:52Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@YeeterMcEaterRD,ive gotten a ton of compliments for wearing noir 29 its rlly good,2025-05-08T08:42:20Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@KodakBlacksBrain,The noir 29 smells so bad I don’t see how that’s the best rated one according to alot of people. Another 13 is by far my favorite though.,2025-05-07T19:32:22Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@ViaanPatel-w6i,Agreed I love the scent thé noir and my hand immediately goes to it when choosing a perfume to go out with,2025-04-15T12:12:59Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@LAMODÉLISTE,Tea Night or thé noir 29 is my fave!!!!,2025-02-03T17:45:07Z,0,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@kiefervandenberg,Tbh for match 26 I hardly get the Matcha and most get dry woods and musk from it,2025-01-31T06:00:38Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@raynuh138,Song please,2024-12-07T00:25:43Z,0,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@soakedbearrd,"Need to try the noir 29, love another 13.",2024-11-01T21:03:07Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@lacq7645,Thè noir is goated!,2024-10-25T14:30:48Z,4,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@bowser7878,"Hey man, you know what's going on? Where's the best place to get some samples?",2024-10-19T23:27:19Z,2,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@tashfash5374,We have the same nose lol my top 3 also,2024-10-17T18:45:31Z,0,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@zombiescummy1154,"Agree with another 13, and the noir 29 my top two",2024-09-25T08:06:32Z,6,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@KFThanchanok,Yassssss,2024-09-02T00:21:29Z,1,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@Olibabybam,Thé noir is the best.,2024-08-15T18:38:30Z,4,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@faristont4561,"Nah, noir is nothing on another 13. even santal 33 and rose 31 is miles better",2024-07-17T18:43:11Z,7,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@jakenader8821,All 3 of those are on my radar to buy someday so its nice to see them being liked by other people. It just reinforces the fact that I need to get them,2024-07-10T05:02:37Z,17,Fragrance Discovery Set,19-69,Top Three Le Labo Fragrances‼️✨#fragrance
@jawadzanayed9631,Free Palestine,2024-07-24T21:13:36Z,0,Capri Eau de Parfum,19-69,Spice Fragrances | Scent Bar Shelf Tour
@Fares__hr,Is this store selling the original and its products reliable? Please guide me,2024-02-01T08:56:50Z,0,Capri Eau de Parfum,19-69,Spice Fragrances | Scent Bar Shelf Tour
@gabrielgomez9128,"I really like how organic and clean these videos are. 

By the way, I saw that on top of the “Spice” shelf is the Oud one. 

Waiting for that one.",2024-02-01T08:37:55Z,0,Capri Eau de Parfum,19-69,Spice Fragrances | Scent Bar Shelf Tour
@catherinegreer854,Love this format!! More please ❤,2024-02-01T08:26:04Z,0,Capri Eau de Parfum,19-69,Spice Fragrances | Scent Bar Shelf Tour
@Amlu-os9vw,Which is accurate???,2025-07-08T05:00:00Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@charlesatlas92201,I use the Walmart brand and it's usually accurate.,2025-07-07T21:48:48Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
